x (m),y (m),time (sec)
0.3226,0.167,20.16
0.3226,0.1594,20.201999999999998
0.3189,0.1294,20.238
0.3189,0.1107,20.28
0.3189,0.09192,20.322
0.3189,0.07691,20.358
0.3151,0.06565,20.400000000000002
0.3076,0.04314,20.442
0.3001,0.02439,20.477999999999998
0.2926,0.009379,20.520000000000003
0.2851,-0.005627,20.562
0.2776,-0.01313,20.598
0.2589,-0.03564,20.639999999999997
0.2476,-0.04315,20.682000000000002
0.2326,-0.05065,20.718
0.2101,-0.05815,20.759999999999998
0.2063,-0.0619,20.802
0.1763,-0.0619,20.838
0.1576,-0.05815,20.88
0.1388,-0.05065,20.922
0.1201,-0.04315,20.958
0.1126,-0.03564,21.0
0.09379,-0.02063,21.042
0.08254,-0.005627,21.078
0.07503,0.01313,21.119999999999997
0.07128,0.02814,21.162
0.07128,0.03564,21.198
0.07879,0.05815,21.24
0.08629,0.07316,21.282
0.09754,0.08441,21.318
0.1126,0.09192,21.36
0.1201,0.09567,21.402
0.1463,0.1069,21.438
0.1613,0.1107,21.48
0.1801,0.1107,21.522000000000002
0.1988,0.1107,21.558
0.2063,0.1069,21.599999999999998
0.2364,0.1032,21.642000000000003
0.2551,0.09567,21.678
0.2739,0.08441,21.72
0.2926,0.07691,21.762
0.3001,0.07316,21.798000000000002
0.3302,0.05815,21.84
0.3489,0.05065,21.882
0.3714,0.03939,21.918
0.3939,0.03189,21.96
0.4014,0.02814,22.002000000000002
0.4314,0.01688,22.038
0.4502,0.005627,22.08
0.469,-0.005627,22.122
0.4877,-0.01688,22.158
0.499,-0.02063,22.2
0.5252,-0.04315,22.241999999999997
0.5402,-0.05815,22.278000000000002
0.559,-0.07316,22.32
0.5703,-0.08817,22.362
0.5778,-0.09567,22.398
0.5965,-0.1294,22.44
0.604,-0.1519,22.482
0.6153,-0.1707,22.518
0.6228,-0.1932,22.56
0.6265,-0.2045,22.602
0.6378,-0.2345,22.638
0.6415,-0.2607,22.68
0.6453,-0.2833,22.721999999999998
0.649,-0.3095,22.758000000000003
0.649,-0.3208,22.8
0.6566,-0.3545,22.842
0.6603,-0.3808,22.878
0.6641,-0.4033,22.92
0.6641,-0.4296,22.962
0.6641,-0.4408,22.997999999999998
0.6603,-0.4708,23.04
0.6528,-0.4971,23.082
0.649,-0.5159,23.118
0.6378,-0.5346,23.16
0.6303,-0.5496,23.201999999999998
0.6153,-0.5684,23.238
0.604,-0.5834,23.28
0.589,-0.6022,23.322
0.5778,-0.6172,23.357999999999997
0.5703,-0.6284,23.400000000000002
0.5478,-0.6472,23.442
0.529,-0.6584,23.477999999999998
0.5102,-0.6734,23.52
0.4915,-0.6847,23.562
0.4727,-0.6959,23.598
0.454,-0.7072,23.64
0.4314,-0.7147,23.682
0.4127,-0.7222,23.718
0.3902,-0.7297,23.76
0.3789,-0.7335,23.802
0.3489,-0.741,23.838
0.3264,-0.7447,23.880000000000003
0.3039,-0.7447,23.922
0.2814,-0.7447,23.958
0.2626,-0.741,24.0
0.2401,-0.7372,24.042
0.2214,-0.7335,24.078
0.2026,-0.726,24.12
0.1801,-0.7185,24.162
0.1613,-0.711,24.198
0.1426,-0.7034,24.240000000000002
0.1238,-0.6922,24.282
0.105,-0.6809,24.317999999999998
0.08629,-0.6697,24.360000000000003
0.07879,-0.6659,24.402
0.04877,-0.6509,24.438
0.03001,-0.6397,24.479999999999997
0.01125,-0.6322,24.522000000000002
-0.007503,-0.6247,24.558
-0.01876,-0.6209,24.599999999999998
-0.04877,-0.6134,24.642
-0.07128,-0.6097,24.678
-0.09379,-0.6097,24.72
-0.1163,-0.6059,24.762
-0.1238,-0.6059,24.798000000000002
-0.1538,-0.6059,24.84
-0.1763,-0.6097,24.882
-0.1951,-0.6097,24.918
-0.2138,-0.6134,24.959999999999997
-0.2251,-0.6172,25.002000000000002
-0.2514,-0.6209,25.038
-0.2739,-0.6284,25.08
-0.2889,-0.6359,25.122
-0.3076,-0.6434,25.158
-0.3151,-0.6472,25.2
-0.3339,-0.6622,25.242
-0.3489,-0.6734,25.278
-0.3602,-0.6847,25.32
-0.3714,-0.6959,25.362000000000002
-0.3789,-0.7034,25.398
-0.3902,-0.726,25.439999999999998
-0.3939,-0.741,25.482000000000003
-0.3977,-0.756,25.518
-0.3977,-0.7747,25.56
-0.3977,-0.7897,25.602
-0.3939,-0.8047,25.638
-0.3902,-0.8198,25.68
-0.3827,-0.831,25.722
-0.3789,-0.8423,25.758000000000003
-0.3714,-0.8498,25.8
-0.3564,-0.8648,25.842000000000002
-0.3527,-0.8798,25.878
-0.3489,-0.8873,25.919999999999998
-0.3452,-0.8985,25.962
-0.3414,-0.9023,25.998
-0.3377,-0.9173,26.04
-0.3339,-0.9248,26.081999999999997
-0.3302,-0.9248,26.118000000000002
-0.3264,-0.9248,26.16
-0.3264,-0.921,26.201999999999998
-0.3226,-0.921,26.238
-0.3189,-0.9248,26.28
-0.3076,-0.9248,26.322
-0.3039,-0.9248,26.358
-0.2964,-0.9248,26.4
-0.2851,-0.9286,26.442
-0.2664,-0.9323,26.478
-0.2551,-0.9361,26.52
-0.2401,-0.9398,26.561999999999998
-0.2214,-0.9398,26.598000000000003
-0.2063,-0.9436,26.64
-0.1838,-0.9436,26.682
-0.1651,-0.9398,26.718
-0.1501,-0.9398,26.76
-0.1313,-0.9361,26.802
-0.1126,-0.9361,26.837999999999997
-0.09379,-0.9323,26.88
-0.07128,-0.9323,26.922
-0.05628,-0.9286,26.958
-0.04502,-0.9286,27.0
-0.01501,-0.9286,27.041999999999998
0.007503,-0.9323,27.078
0.02626,-0.9323,27.12
0.04502,-0.9323,27.162
0.06378,-0.9323,27.198
0.08629,-0.9286,27.240000000000002
0.105,-0.9248,27.282
0.1238,-0.9173,27.317999999999998
0.1388,-0.9098,27.36
0.1538,-0.9023,27.402
0.1688,-0.891,27.438
0.1801,-0.8798,27.48
0.1876,-0.8648,27.522
0.1988,-0.8498,27.558
0.2026,-0.8348,27.6
0.2063,-0.816,27.642
0.2063,-0.7972,27.678
0.2063,-0.7822,27.720000000000002
0.2063,-0.7635,27.762
0.2063,-0.7447,27.798
0.2063,-0.7297,27.84
0.2026,-0.711,27.882
0.2026,-0.6922,27.918
0.1988,-0.6772,27.96
0.1988,-0.6584,28.002
0.1988,-0.6397,28.038
0.1951,-0.6209,28.080000000000002
0.1913,-0.5984,28.122
0.1876,-0.5834,28.158
0.1838,-0.5646,28.2
0.1801,-0.5459,28.242
0.1763,-0.5309,28.278
0.1688,-0.5121,28.32
0.1613,-0.4934,28.362000000000002
0.1538,-0.4746,28.398
0.1463,-0.4558,28.439999999999998
0.1426,-0.4371,28.482
0.1351,-0.4183,28.518
0.1238,-0.3996,28.56
0.1163,-0.3808,28.602
0.105,-0.362,28.638
0.09754,-0.3433,28.68
0.08629,-0.3208,28.722
0.07503,-0.3058,28.758
0.06378,-0.287,28.799999999999997
0.05252,-0.2682,28.842000000000002
0.04127,-0.2495,28.878
0.02626,-0.2307,28.919999999999998
0.01125,-0.212,28.962
