time (µs),x,y,head direction (˚)
1650048200694827.25, 252.3649, 397.4657, 241.3480
1650048200730802.50, 251.4913, 399.2292, 243.0778
1650048200810229.25, 248.8460, 402.3802, -99.0000
1650048200874722.50, 241.2139, 402.1673, -99.0000
1650048200941242.75, 231.8927, 396.2175, -99.0000
1650048201004663.00, 222.2901, 385.3812, -99.0000
1650048201069904.75, 215.4138, 373.1017, -99.0000
1650048201112155.25, 213.9070, 362.0779, 312.2695
1650048201157334.50, 211.9369, 354.7188, 314.1343
1650048201194129.50, 209.6207, 347.0721, 320.4720
1650048201230445.00, 206.2622, 340.9897, 316.1588
1650048201267950.25, 204.6314, 338.1403, 315.7562
1650048201310025.50, 202.5287, 333.0792, 318.4638
1650048201358194.50, 199.1073, 328.8148, 318.0853
1650048201394285.25, 195.8572, 324.1814, 326.8991
1650048201439638.25, 192.4269, 319.1045, 329.9186
1650048201491375.00, 191.2433, 312.5417, 343.0919
1650048201557423.75, 189.3587, 305.0272, -99.0000
1650048201623317.25, 189.3401, 295.0068, -99.0000
1650048201658970.00, 190.6791, 287.4727, 351.0929
1650048201697421.00, 192.1657, 284.4608, 348.8110
1650048201741786.25, 192.2179, 282.9917, 348.5225
1650048201780377.25, 191.2634, 279.9226, 350.9991
1650048201824416.25, 190.7821, 279.6199, 353.0731
1650048201860756.25, 188.7855, 279.3504, 359.1167
1650048201897817.75, 187.3072, 276.7990, 358.2192
1650048201929811.25, 186.5067, 275.6699, 0.5691
1650048201960966.50, 186.2550, 275.0147, 355.7456
1650048201995222.50, 186.5210, 274.0769, 353.2399
1650048202030920.00, 185.6442, 272.2188, 353.3171
1650048202071574.50, 185.8263, 273.0537, 344.9319
1650048202111498.50, 185.7691, 273.7273, 342.7943
1650048202151733.75, 184.6246, 273.7991, 341.0383
1650048202183853.00, 183.4343, 273.7492, 341.0714
1650048202223483.25, 183.5547, 274.0533, 340.1088
1650048202262876.25, 184.7810, 275.1089, 343.4422
1650048202299035.25, 185.6828, 274.1470, 349.1324
1650048202362357.50, 187.5928, 272.8140, -99.0000
1650048202435902.50, 190.3124, 270.0900, -99.0000
1650048202521895.25, 202.1867, 260.7148, -99.0000
1650048202567701.50, 220.7828, 256.2710, 45.2501
1650048202605409.75, 224.5168, 255.7906, 47.7371
1650048202643272.75, 228.2861, 255.5829, 47.0896
1650048202681322.25, 230.1493, 254.1943, 40.8981
1650048202727187.50, 231.9124, 251.7059, 37.4737
1650048202775455.00, 232.4300, 248.0905, 34.7450
1650048202981844.75, 231.4719, 243.0641, -99.0000
1650048203032668.00, 214.4041, 227.1631, 9.5355
1650048203069291.00, 211.4452, 222.8806, 6.4302
1650048203104124.25, 210.4923, 220.4638, 7.7741
1650048203139824.50, 210.6095, 215.8830, 6.7753
1650048203180092.25, 211.4421, 212.7400, 4.4499
1650048203257630.50, 213.4385, 206.7942, -99.0000
1650048203296530.50, 216.7752, 198.5331, 14.6897
1650048203336546.25, 216.0495, 196.2048, 15.1248
1650048203379209.75, 214.8424, 191.7108, 13.5413
1650048203441606.75, 213.5889, 185.5658, 11.6120
1650048203485424.50, 211.2857, 177.0058, 5.0964
1650048203523148.75, 209.6255, 171.1919, 359.7835
1650048203561589.25, 208.8642, 169.1284, 357.8443
1650048203669971.50, 208.0975, 165.8511, 358.0309
1650048203715713.75, 202.1982, 154.7978, 359.5896
1650048203755333.50, 199.7333, 151.0751, 0.3248
1650048203794005.00, 197.1735, 147.2442, 358.0197
1650048203825425.75, 195.4828, 142.9075, 0.7271
1650048203861879.50, 194.7170, 141.2032, 357.7689
1650048203941883.50, 193.3603, 136.4785, -99.0000
1650048204025288.00, 194.4901, 127.8817, -99.0000
1650048204108075.75, 198.5767, 122.3364, -99.0000
1650048204151064.00, 200.2635, 113.8795, 16.6821
1650048204230175.50, 201.0158, 110.2580, -99.0000
1650048204313595.50, 201.8274, 105.6975, -99.0000
1650048204349863.50, 203.4922, 103.0253, 17.8024
1650048204427528.00, 204.4289, 102.2315, -99.0000
1650048204502689.50, 203.8597, 102.9693, -99.0000
1650048204544906.75, 198.9517, 106.4191, 1.4716
1650048204616149.75, 194.6234, 108.5640, -99.0000
1650048204658852.25, 187.1935, 112.8803, 337.1309
1650048204700608.75, 181.9279, 118.0793, 324.5692
1650048204743475.75, 172.1260, 125.5596, 309.6567
1650048204800893.00, 168.9852, 129.4489, 305.3075
1650048204846575.00, 163.4608, 139.3860, 293.6953
1650048204884450.25, 158.2921, 143.9212, 287.2293
1650048204938666.25, 154.0476, 147.4227, 286.4800
1650048204987071.00, 150.5513, 148.1948, 282.6003
1650048205025869.50, 141.6707, 148.7855, 285.2074
1650048205062727.00, 140.2665, 148.1452, 287.2176
1650048205181780.25, 135.4096, 147.5248, -99.0000
1650048205219386.75, 126.6140, 149.0204, 283.8309
1650048205312114.00, 123.0461, 149.2873, -99.0000
1650048205348094.25, 117.4832, 149.6885, 285.1386
1650048205385938.50, 114.0461, 148.7519, 285.0362
1650048205419822.50, 111.9043, 148.1765, 283.0515
1650048205454982.50, 106.8702, 145.9629, 289.9876
1650048205540544.00, 104.4476, 143.1761, -99.0000
1650048205634288.50, 100.5548, 140.7311, -99.0000
1650048205715754.25, 100.5949, 138.5439, -99.0000
1650048205779179.00, 101.0406, 133.0394, -99.0000
1650048205878476.50, 101.0190, 124.8424, -99.0000
1650048205977065.00, 99.9874, 117.6738, -99.0000
1650048206072128.00, 100.2522, 117.7735, -99.0000
1650048206180973.00, 100.0783, 117.9096, -99.0000
1650048206246701.50, 100.8210, 117.6051, -99.0000
1650048206319405.50, 101.8346, 118.5395, -99.0000
1650048206391271.50, 103.3019, 118.8813, -99.0000
1650048206480958.00, 104.7523, 117.7258, -99.0000
1650048206563199.50, 109.1707, 116.0448, -99.0000
1650048206622325.75, 114.0427, 113.9272, 352.4147
1650048206660806.25, 122.8059, 112.3481, 339.0533
1650048206700869.25, 124.1999, 109.0704, 340.4912
1650048206741460.50, 125.2204, 103.7814, 341.9492
1650048206777683.25, 124.3389, 101.1994, 342.6318
1650048206817911.75, 123.5948, 95.8592, 343.9043
1650048206852811.00, 121.5998, 88.1605, 342.5523
1650048206889400.50, 117.8717, 80.5280, 345.2347
1650048206926432.25, 115.7170, 76.2170, 346.5582
1650048206997589.50, 113.7723, 67.9114, 343.5761
1650048207036575.25, 112.6756, 59.6572, 347.8951
1650048207083443.00, 112.1636, 53.9731, 350.9412
1650048207114656.50, 111.9115, 50.0933, 357.7380
1650048207161839.00, 112.2518, 49.0839, 4.3214
1650048207241954.75, 112.4853, 46.3280, -99.0000
1650048207309247.25, 118.8930, 43.2932, -99.0000
1650048207375399.50, 125.8448, 41.3369, -99.0000
1650048207455961.00, 134.5111, 38.7650, -99.0000
1650048207494879.50, 144.5341, 36.6827, 37.8210
1650048207531966.75, 145.3714, 35.1850, 36.4441
1650048207571458.50, 145.8956, 32.6225, 32.4178
1650048207608176.00, 145.3331, 30.5376, 28.5104
1650048207722144.75, 144.2614, 29.8756, -99.0000
1650048207762090.25, 138.7354, 27.8841, 23.1918
1650048207795103.50, 138.1415, 27.9041, 23.4723
1650048207852604.00, 137.6327, 29.3625, 22.7778
1650048207967848.25, 134.3730, 28.8246, -99.0000
1650048208069730.75, 135.2387, 27.9329, -99.0000
1650048208153037.25, 146.8322, 31.2500, -99.0000
1650048208210916.00, 164.3366, 39.4069, 77.7588
1650048208253508.75, 174.7220, 47.7512, 92.3165
1650048208301509.50, 182.6591, 48.3153, 89.7491
1650048208345369.25, 187.8505, 46.9601, 86.1587
1650048208468225.75, 193.2979, 44.7909, 85.3471
1650048208503976.50, 208.1561, 40.9051, 92.7013
1650048208540564.50, 209.3171, 41.7512, 103.5942
1650048208572819.25, 210.2769, 41.3301, 107.0244
1650048208609625.25, 211.9507, 39.3027, 100.3119
1650048208641742.75, 213.5982, 35.2813, 98.4880
1650048208680470.50, 215.1943, 33.4653, 96.6026
1650048208717455.50, 218.6284, 30.0822, 94.7524
1650048208760743.25, 221.5890, 27.8615, 92.5153
1650048208803745.25, 223.8022, 27.4922, 91.6175
1650048208843568.25, 235.6596, 24.7920, 89.3037
1650048208880431.25, 239.4921, 24.6954, 88.9401
1650048208922814.75, 245.0244, 25.2908, 93.1089
1650048208962526.25, 250.1075, 25.5713, 92.3319
1650048208999645.50, 256.2843, 25.6728, 91.1324
1650048209042425.50, 258.6181, 25.7933, 87.7619
1650048209081677.75, 261.4920, 24.6644, 85.8683
1650048209111942.25, 264.7159, 24.4273, 85.7086
1650048209150085.00, 265.5850, 24.5900, 82.9926
1650048209189723.50, 268.5119, 23.3549, 77.1615
1650048209242503.00, 271.3482, 25.2402, 82.7175
1650048209282431.75, 274.0586, 25.6060, 84.1753
1650048209317526.00, 279.6024, 25.5976, 93.9816
1650048209359065.00, 283.5143, 27.7173, 99.6852
1650048209401768.50, 286.6249, 27.5827, 100.3414
1650048209442360.00, 290.7841, 27.4287, 101.7613
1650048209547076.50, 297.1004, 27.4531, -99.0000
1650048209619106.75, 308.9365, 25.0878, 93.7841
1650048209664788.75, 313.9231, 26.7406, 99.4812
1650048209702617.75, 317.7442, 27.1545, 99.9953
1650048209733488.25, 322.3414, 28.0912, 101.0826
1650048209770520.50, 324.0277, 27.6809, 101.1259
1650048209808432.25, 328.5985, 27.9319, 107.6859
1650048209844939.50, 331.4914, 27.9127, 112.3205
1650048209874937.25, 334.0480, 27.7678, 111.8225
1650048209912805.50, 337.1867, 27.0019, 110.4115
1650048209949303.00, 338.8790, 26.8711, 109.6097
1650048209984681.25, 344.2275, 26.5998, 102.7140
1650048210034468.25, 348.8080, 26.9833, 95.7195
1650048210071389.00, 351.2045, 26.5698, 96.1786
1650048210108090.75, 352.0425, 26.7081, 99.1457
1650048210150479.50, 355.7706, 26.6875, 97.7924
1650048210181662.50, 359.3956, 27.4352, 96.9365
1650048210224750.50, 361.4029, 27.1077, 96.3684
1650048210256515.75, 363.0439, 27.3161, 97.0609
1650048210301947.00, 364.4927, 26.7729, 103.0806
1650048210334888.00, 366.2019, 25.6937, 103.5642
1650048210417903.75, 366.7409, 25.9798, 103.7525
1650048210458623.00, 370.7294, 25.3820, 96.5100
1650048210504054.50, 372.7138, 24.3792, 90.7991
1650048210540028.50, 374.1058, 25.5947, 90.0356
1650048210586424.50, 374.4982, 26.5749, 91.3928
1650048210626091.75, 374.7942, 30.0268, 93.4930
1650048210672605.75, 374.4973, 31.2513, 94.1790
1650048210712110.75, 374.4753, 29.6851, 95.0724
1650048210750270.00, 374.5618, 30.5285, 98.1916
1650048210780918.25, 374.8242, 33.7711, -99.0000
1650048210826598.00, 373.5105, 34.4957, 114.6135
1650048210862811.00, 373.3985, 37.0453, 118.5943
1650048210899901.75, 373.4016, 38.4138, 119.2595
1650048210980744.75, 372.1593, 41.6023, 131.0779
1650048211017573.75, 370.1425, 44.8210, 132.4218
1650048211053110.25, 368.9753, 46.9090, 141.2495
1650048211103346.00, 369.4357, 49.7880, 140.6997
1650048211148209.00, 368.3162, 50.4884, 145.9364
