time,x,y,head direction
1648415076866394.75, 119.8008, 338.4237, 189.9664
1648415076896696.75, 119.4795, 342.4944, 193.1170
1648415076936944.50, 119.4481, 344.3049, 190.7254
1648415076971773.50, 121.3027, 348.0855, 190.8859
1648415077007330.50, 120.6448, 350.9963, 194.9198
1648415077059189.00, 120.4393, 352.6097, 196.5204
1648415077102963.50, 124.6709, 360.6697, 194.7439
1648415077138267.50, 126.6268, 364.1787, 185.2430
1648415077172738.50, 128.1564, 367.2830, 182.5266
1648415077205527.00, 130.1938, 371.7432, 187.0301
1648415077320946.75, 129.9936, 374.1215, -99.0000
1648415077363733.50, 130.7858, 382.6274, 178.0168
1648415077400188.75, 131.8232, 385.3547, 176.2762
1648415077438423.00, 133.0148, 388.6078, 176.4590
1648415077475804.25, 134.4042, 390.0158, 178.9160
1648415077520501.75, 135.2250, 392.1786, 179.4561
1648415077642393.00, 137.2200, 392.6154, -99.0000
1648415077679095.75, 142.3210, 395.3638, 181.2675
1648415077715860.25, 142.9736, 396.4197, 179.8501
1648415077753818.25, 143.8247, 400.6238, 174.9452
1648415077793836.00, 145.6591, 405.1791, 168.0783
1648415077892189.50, 148.2901, 409.3677, 165.4880
1648415077941023.50, 157.6452, 422.7572, 159.2982
1648415077975643.50, 160.5887, 426.9833, 164.7633
1648415078022224.75, 163.1985, 430.5971, 166.0731
1648415078062224.75, 168.3089, 433.6823, 163.3115
1648415078094216.50, 173.2558, 436.3744, 159.7663
1648415078145664.75, 174.0862, 437.6799, 156.7275
1648415078188788.25, 178.7850, 439.2536, 152.2640
1648415078227650.00, 185.9020, 442.1167, 148.4065
1648415078266626.50, 188.3344, 443.6708, 144.8785
1648415078302749.50, 189.7620, 447.1377, 154.7081
1648415078340444.00, 188.7507, 448.9446, 163.8013
1648415078460680.50, 188.7982, 450.7907, -99.0000
1648415078503659.25, 191.0874, 457.1846, 164.3433
1648415078548514.50, 192.7085, 458.1216, 167.4718
1648415078588632.50, 192.6653, 457.8039, 164.8989
1648415078621854.75, 193.2496, 458.3521, 167.0907
1648415078661110.50, 194.9252, 459.1997, 156.4083
1648415078692303.25, 197.9213, 459.6362, 149.5254
1648415078722132.00, 200.5163, 459.9137, 145.2513
1648415078762883.75, 206.1892, 457.9531, 132.1975
1648415078856078.25, 208.7010, 455.9419, 127.0468
1648415078906583.00, 224.2073, 454.1767, 117.1982
1648415078945564.75, 230.3344, 456.1271, 125.8241
1648415078985844.00, 232.3750, 455.6877, 123.2898
1648415079023457.00, 233.9078, 454.6307, 121.8282
1648415079059044.00, 239.0784, 454.0464, 120.1418
1648415079096476.00, 242.2027, 454.1802, 121.2274
1648415079136266.00, 242.5230, 454.3903, 121.2196
1648415079175658.00, 244.3027, 454.4419, 125.3076
1648415079211125.00, 246.6615, 455.6743, 123.4711
1648415079253462.00, 246.8597, 456.2992, 125.3616
1648415079295728.50, 246.3633, 458.5730, 126.6114
1648415079336920.00, 247.2788, 459.8974, 126.1385
1648415079386675.00, 246.8811, 459.3466, 121.8032
1648415079428025.75, 246.3655, 456.7238, 116.7489
1648415079472013.25, 248.3022, 453.4116, 109.0226
1648415079570242.50, 252.4609, 450.4905, 103.4267
1648415079611129.25, 260.7446, 448.2391, 107.7937
1648415079648094.75, 264.8922, 447.0657, 108.4692
1648415079684019.75, 269.7519, 445.3017, 103.5420
1648415079725527.50, 274.3788, 444.9919, 107.6527
1648415079762705.00, 276.4080, 445.5504, 107.1569
1648415079800933.75, 280.7555, 447.6182, 104.6386
1648415079832184.75, 285.1026, 449.5525, 107.9992
1648415079871220.50, 289.5066, 449.8329, 103.6739
1648415079909345.50, 291.2647, 450.0943, 104.9585
1648415079944478.75, 292.4012, 451.0686, 110.6169
1648415079981500.75, 293.9245, 450.1958, 109.6341
1648415080018796.00, 294.0747, 449.6325, 111.9583
1648415080064813.50, 293.5303, 448.6895, 112.5489
1648415080103852.00, 294.9496, 447.3713, 110.3033
1648415080140847.25, 298.8063, 445.9308, 109.2024
1648415080177481.00, 300.7259, 445.4152, 109.0882
1648415080211739.50, 306.0260, 444.0975, 105.6132
1648415080248822.50, 312.0948, 443.4338, 104.3998
1648415080322657.00, 314.2183, 443.7722, -99.0000
1648415080362778.25, 320.7258, 443.7653, 103.2511
1648415080411075.25, 324.0531, 443.8185, 102.2137
1648415080443450.25, 328.3512, 443.5502, 99.6770
1648415080479225.00, 333.1481, 443.5528, 104.1384
1648415080512181.50, 337.5184, 444.5124, 108.1236
1648415080547799.00, 339.9817, 445.3633, 109.6280
1648415080627700.75, 342.9002, 448.4075, -99.0000
1648415080666254.50, 347.6692, 449.5649, 120.4216
1648415080703585.00, 349.6570, 449.1777, 118.9165
1648415080734516.25, 351.1854, 447.0354, 114.8179
1648415080772379.50, 352.0432, 445.3114, 110.0813
1648415080811245.50, 352.5927, 443.4493, 104.6076
1648415080848858.75, 352.2234, 442.7898, 101.6230
1648415080890478.50, 352.4691, 440.5148, 93.2075
1648415080921633.50, 352.4889, 436.3221, 81.4953
1648415080963371.00, 351.7238, 431.4533, 70.2382
1648415081009026.00, 351.7801, 429.6386, 67.4747
1648415081050978.50, 350.2343, 426.5450, 65.2745
1648415081090137.50, 349.0827, 422.0387, 59.1445
1648415081125446.25, 349.1747, 419.6511, 60.8996
1648415081163176.75, 350.3171, 417.4246, 60.8813
1648415081194255.75, 351.4868, 416.0163, 61.6326
1648415081225896.00, 352.6268, 414.6963, 58.6343
1648415081283501.25, 351.5949, 413.2761, 55.7720
1648415081339987.50, 350.6346, 410.7785, 56.7228
1648415081400452.50, 349.7625, 409.2899, 48.8566
1648415081446235.25, 347.8825, 408.9340, 42.1999
1648415081485523.50, 347.0657, 408.3460, 42.9976
1648415081529685.50, 344.5140, 409.7923, 39.7135
1648415081578672.50, 343.3688, 409.3483, 40.8462
1648415081782271.00, 342.6777, 408.4681, -99.0000
1648415081908785.75, 340.4240, 404.8557, -99.0000
1648415081974343.00, 330.7031, 400.1807, 17.8325
1648415082017385.00, 327.4587, 396.8115, 13.3995
1648415082060411.75, 326.0944, 393.7526, 12.2983
1648415082101790.50, 324.3585, 391.4009, 11.8000
1648415082143570.00, 323.9855, 390.3135, 14.9894
1648415082186929.50, 321.9489, 387.5259, 11.7632
1648415082225296.25, 318.0290, 387.2773, 7.5789
1648415082279751.25, 315.9709, 385.4777, 5.5269
1648415082318471.75, 310.8700, 381.9448, 355.2296
1648415082364085.50, 308.8752, 381.4429, 353.9655
1648415082410500.75, 306.8816, 380.3981, 356.6288
1648415082442420.75, 304.1735, 378.2872, 2.8055
