time (ms),membrane voltage (mV)
111.452,-59.09778
111.456,-58.31458
111.46,-57.60266
111.464,-56.89074
111.468,-56.10754
111.472,-55.53796
111.476,-55.03966
111.48,-54.54136
111.484,-54.1854
111.488,-53.4022
111.492,-52.83262
111.496,-52.19198
111.5,-51.69346
111.504,-51.3375
111.508,-51.26644
111.512,-51.40878
111.516,-51.69346
111.52,-52.04942
111.524,-52.19198
111.528,-52.1207
111.532,-51.8358
111.536,-51.55112
111.54,-51.3375
111.544,-51.3375
111.548,-51.40878
111.552,-51.76474
111.556,-52.19198
111.56,-52.619
111.564,-52.83262
111.568,-52.97496
111.572,-53.04624
111.576,-52.97496
111.58,-52.83262
111.584,-52.69028
111.588,-52.69028
111.592,-52.83262
111.596,-53.04624
111.6,-52.97496
111.604,-53.18858
111.608,-53.1173
111.612,-53.1173
111.616,-53.1173
111.62,-53.1173
111.624,-53.18858
111.628,-53.25986
111.632,-53.47348
111.636,-53.75816
111.64,-54.1854
111.644,-54.47008
111.648,-54.61242
111.652,-54.89732
111.656,-54.96838
111.66,-55.11094
111.664,-55.39562
111.668,-55.82286
111.672,-56.32116
111.676,-56.89074
111.68,-57.38904
111.684,-57.67394
111.688,-57.88756
111.692,-57.745
111.696,-57.745
111.7,-57.5316
111.704,-57.60266
111.708,-57.81628
111.712,-58.10096
111.716,-58.45714
111.72,-58.5282
111.724,-58.45714
111.728,-58.17224
111.732,-57.81628
111.736,-57.46032
111.74,-57.38904
111.744,-57.38904
111.748,-57.5316
111.752,-57.88756
111.756,-58.0299
111.76,-58.10096
111.764,-58.10096
111.768,-58.0299
111.772,-57.81628
111.776,-57.5316
111.78,-57.46032
111.784,-57.38904
111.788,-57.31798
111.792,-57.2467
111.796,-57.46032
111.8,-57.67394
111.804,-57.95862
111.808,-58.10096
111.812,-58.10096
111.816,-57.95862
111.82,-57.88756
111.824,-57.745
111.828,-57.81628
111.832,-58.10096
111.836,-58.24352
111.84,-58.59948
111.844,-58.88416
111.848,-58.88416
111.852,-58.95544
111.856,-58.88416
111.86,-58.88416
111.864,-59.0265
111.868,-59.16906
111.872,-59.38268
111.876,-59.73864
111.88,-60.0946
111.884,-60.30822
111.888,-60.52162
111.892,-60.66418
111.896,-60.80652
111.9,-60.94886
111.904,-61.16248
111.908,-61.51844
111.912,-61.80312
111.916,-61.94568
111.92,-61.94568
111.924,-61.73206
111.928,-61.3761
111.932,-60.87758
111.936,-60.37928
111.94,-60.02332
111.944,-59.73864
111.948,-59.66736
111.952,-59.59608
111.956,-59.45374
111.96,-59.38268
111.964,-59.16906
111.968,-58.8131
111.972,-58.45714
111.976,-58.10096
111.98,-57.745
111.984,-57.5316
111.988,-57.31798
111.992,-57.38904
111.996,-57.46032
112.0,-57.60266
112.004,-57.67394
112.008,-57.67394
112.012,-57.38904
112.016,-57.2467
112.02,-57.10436
112.024,-57.03308
112.028,-57.31798
112.032,-57.5316
112.036,-57.81628
