1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
71,56,66,64,70,58,75,69,59,57,78,56,67,75,55,67,67,79,65,46,73,57,78,83,54,63,49,69,66,51,57,73,63,69,75,81,72,78,71,59,75,64,44,50,63,79,66,50,73,70,77,79,82,72,66,58,41,72,46,59,67,82,70,65,68,37,78,65,57,69,80,58,74,64,64,69,70,75,78,47,66,55,31,67
74,58,65,60,81,54,81,58,71,61,78,56,33,71,58,74,73,82,75,65,69,65,76,76,64,52,53,51,72,44,52,77,78,75,56,76,78,76,69,49,80,67,61,58,68,79,59,69,70,76,68,77,75,72,60,63,51,83,48,53,70,74,76,68,74,50,81,77,43,79,65,69,77,73,72,86,78,75,67,72,75,60,30,71
69,59,69,69,70,57,78,62,74,65,59,70,43,55,66,73,75,81,81,51,65,57,75,82,61,61,52,46,76,48,55,51,75,68,56,72,67,79,54,45,79,85,65,71,58,82,57,71,68,63,57,81,56,77,83,66,75,72,60,55,75,84,72,69,68,59,82,78,45,77,67,55,77,78,64,76,68,74,65,77,91,65,25,75
79,64,68,69,60,52,75,69,79,79,68,71,60,59,61,70,74,78,69,52,72,66,76,69,57,57,52,55,54,47,46,62,81,70,49,70,63,76,68,55,43,46,65,84,63,74,72,80,55,76,48,64,49,75,54,71,59,54,67,65,69,80,60,66,53,66,69,82,56,46,61,59,76,65,66,76,66,82,70,71,62,78,26,77
63,48,65,66,72,71,68,63,78,83,64,72,58,66,55,64,74,85,60,44,92,58,80,76,59,56,53,55,54,45,45,71,81,79,43,70,67,80,77,50,30,40,71,90,67,78,69,83,53,68,50,54,72,75,48,72,63,70,68,60,70,84,52,67,66,72,62,69,66,71,63,63,78,57,72,81,55,75,77,62,63,80,32,72
49,57,72,48,72,52,44,67,70,77,57,73,78,74,57,69,72,75,54,46,64,56,75,69,47,65,58,64,69,49,52,79,81,68,47,78,60,75,78,45,40,58,75,73,64,75,68,91,56,57,47,51,81,74,45,72,64,76,71,67,79,83,60,72,69,73,57,39,66,63,82,64,80,57,83,82,66,79,86,75,59,72,33,60
72,58,68,40,72,45,47,64,55,80,73,63,73,78,78,76,68,81,51,45,45,60,51,72,68,62,66,69,63,52,46,56,79,68,61,74,58,83,67,50,40,88,80,69,75,54,72,93,47,58,53,62,61,71,56,72,77,84,71,64,69,63,72,79,68,76,65,37,76,70,64,59,76,59,70,82,70,81,81,80,45,51,43,66
78,54,50,57,74,50,70,65,43,60,64,75,69,69,68,69,40,67,51,57,45,56,48,68,75,59,72,69,59,65,46,53,80,76,53,80,70,75,70,62,62,83,81,70,71,49,67,97,45,68,75,62,58,72,67,80,80,91,76,67,71,66,76,77,52,76,71,43,71,75,73,67,81,70,63,83,75,76,70,73,65,52,62,73
45,56,47,59,71,66,70,70,56,45,73,73,67,66,48,75,44,72,62,52,47,53,49,75,53,44,68,65,55,54,59,63,69,80,50,71,78,63,73,50,66,83,78,82,54,63,72,56,50,77,61,61,51,69,79,73,78,99,62,57,63,73,76,78,54,71,80,54,83,74,63,76,83,76,79,72,78,71,82,71,56,56,76,85
54,63,49,62,73,69,59,74,71,45,69,62,71,65,54,77,50,75,62,55,61,63,73,79,47,54,60,36,62,33,59,59,58,78,49,62,69,60,74,67,73,87,68,86,62,73,74,64,61,76,62,61,71,75,68,80,69,95,60,64,62,76,55,66,69,66,75,69,83,70,64,53,67,88,60,77,56,72,87,44,59,65,76,88
